NAME,TYPE,COUNTY,PROVINCE,REGION,Longitude,Latitude,DESCRIPTIO,BUFF_DIST,ORIG_FID
Roonah Point,QUAY,MAYO,CONNAUGHT,West,-9.90385155,53.76227088,Wharf usually built parallel to the shoreline,500,216
Nancy's Point Slip,SLIPWAY,GALWAY,CONNAUGHT,West,-9.72992839,53.59994114,Structure consisting of a sloping way down to the water from the place where ships are built or repaired,500,213
Leenane Pier,PIER,GALWAY,CONNAUGHT,West,-9.70590353,53.59606521,"A platform built out from the shore into the water and supported by piles, provides access to ships and boats",500,214
Rosroe Quay,QUAY,GALWAY,CONNAUGHT,West,-9.85955587,53.62026068,Wharf usually built parallel to the shoreline,500,211
An Caolaire Rua,QUAY,GALWAY,CONNAUGHT,West,-9.7542854,53.59838048,Wharf usually built parallel to the shoreline,500,212
Passage East Quay,QUAY,WATERFORD,MUNSTER,South-East,-6.97134257,52.24009849,Wharf usually built parallel to the shoreline,500,209
Cheekpoint Pier,PIER,WATERFORD,MUNSTER,South-East,-6.99452207,52.27168924,"A platform built out from the shore into the water and supported by piles, provides access to ships and boats",500,210
Tramore,PIER,WATERFORD,MUNSTER,South-East,-7.15819105,52.15282798,"A platform built out from the shore into the water and supported by piles, provides access to ships and boats",500,207
Dunmore East Pier,PIER,WATERFORD,MUNSTER,South-East,-6.98876824,52.14830088,"A platform built out from the shore into the water and supported by piles, provides access to ships and boats",500,208
Dungarvan Slip,SLIPWAY,WATERFORD,MUNSTER,South-East,-7.61248892,52.08739132,Structure consisting of a sloping way down to the water from the place where ships are built or repaired,500,205
Bunmahon Slip,SLIPWAY,WATERFORD,MUNSTER,South-East,-7.36958164,52.13828053,Structure consisting of a sloping way down to the water from the place where ships are built or repaired,500,206
Helvick Pier,PIER,WATERFORD,MUNSTER,South-East,-7.54565334,52.05427768,"A platform built out from the shore into the water and supported by piles, provides access to ships and boats",500,203
Helvick New Pier,PIER,WATERFORD,MUNSTER,South-East,-7.54425944,52.05478597,"A platform built out from the shore into the water and supported by piles, provides access to ships and boats",500,204
Ardsallagh Pier,PIER,WATERFORD,MUNSTER,South-East,-7.87949873,51.99489448,"A platform built out from the shore into the water and supported by piles, provides access to ships and boats",500,201
Ardmore Pier,PIER,WATERFORD,MUNSTER,South-East,-7.71537578,51.94916386,"A platform built out from the shore into the water and supported by piles, provides access to ships and boats",500,202
Doiri Beaga Pier,PIER,DONEGAL,ULSTER,North-West,-8.32264792,55.08221566,"A platform built out from the shore into the water and supported by piles, provides access to ships and boats",500,199
Drumnatinny Pier,PIER,DONEGAL,ULSTER,North-West,-8.08248103,55.15855432,"A platform built out from the shore into the water and supported by piles, provides access to ships and boats",500,200
Bunnaninver Pier,PIER,DONEGAL,ULSTER,North-West,-8.30287659,55.12022313,"A platform built out from the shore into the water and supported by piles, provides access to ships and boats",500,197
Carrick Pier,PIER,DONEGAL,ULSTER,North-West,-8.31490185,55.10134449,"A platform built out from the shore into the water and supported by piles, provides access to ships and boats",500,198
Moville Pier,PIER,DONEGAL,ULSTER,North-West,-7.0568041,55.18162143,"A platform built out from the shore into the water and supported by piles, provides access to ships and boats",500,195
Ballyness Pier,PIER,DONEGAL,ULSTER,North-West,-8.12172299,55.14969585,"A platform built out from the shore into the water and supported by piles, provides access to ships and boats",500,196
Culdaff Pier,PIER,DONEGAL,ULSTER,North-West,-7.15269494,55.30043795,"A platform built out from the shore into the water and supported by piles, provides access to ships and boats",500,193
Moville Pier,PIER,DONEGAL,ULSTER,North-West,-7.04070292,55.18670461,"A platform built out from the shore into the water and supported by piles, provides access to ships and boats",500,194
Inishturk,PIER,MAYO,CONNAUGHT,West,-10.09101144,53.70475992,"A platform built out from the shore into the water and supported by piles, provides access to ships and boats",500,255
Inishturk,QUAY,MAYO,CONNAUGHT,West,-10.09067274,53.70528525,Wharf usually built parallel to the shoreline,500,256
Clare Island,PIER,MAYO,CONNAUGHT,West,-9.95068852,53.80005794,"A platform built out from the shore into the water and supported by piles, provides access to ships and boats",500,253
Clare Island,PIER,MAYO,CONNAUGHT,West,-9.97364737,53.79225585,"A platform built out from the shore into the water and supported by piles, provides access to ships and boats",500,254
Ballinlena Pier,PIER,MAYO,CONNAUGHT,West,-9.20794559,54.27444203,"A platform built out from the shore into the water and supported by piles, provides access to ships and boats",500,251
Killala Pier,PIER,MAYO,CONNAUGHT,West,-9.21510365,54.21617156,"A platform built out from the shore into the water and supported by piles, provides access to ships and boats",500,252
Rathlackan,PIER,MAYO,CONNAUGHT,West,-9.24964566,54.28965076,"A platform built out from the shore into the water and supported by piles, provides access to ships and boats",500,249
Rathlackan,SLIPWAY,MAYO,CONNAUGHT,West,-9.25002874,54.28941856,Structure consisting of a sloping way down to the water from the place where ships are built or repaired,500,250
Belderg,PIER,MAYO,CONNAUGHT,West,-9.55232507,54.31141163,"A platform built out from the shore into the water and supported by piles, provides access to ships and boats",500,247
Dooclogh,PIER,MAYO,CONNAUGHT,West,-9.38852774,54.30119795,"A platform built out from the shore into the water and supported by piles, provides access to ships and boats",500,248
Sruwaddacon Bay,PIER,MAYO,CONNAUGHT,West,-9.80355872,54.27172034,"A platform built out from the shore into the water and supported by piles, provides access to ships and boats",500,245
Porturlin,PIER,MAYO,CONNAUGHT,West,-9.71058339,54.32016958,"A platform built out from the shore into the water and supported by piles, provides access to ships and boats",500,246
Blind Harbour,SLIPWAY,MAYO,CONNAUGHT,West,-9.93039435,54.26530501,Structure consisting of a sloping way down to the water from the place where ships are built or repaired,500,243
Ross Port,PIER,MAYO,CONNAUGHT,West,-9.80582358,54.28560957,"A platform built out from the shore into the water and supported by piles, provides access to ships and boats",500,244
Knocknaina Pier,PIER,MAYO,CONNAUGHT,West,-9.8910607,54.2536029,"A platform built out from the shore into the water and supported by piles, provides access to ships and boats",500,241
Knocknaina Pier,PIER,MAYO,CONNAUGHT,West,-9.89521745,54.25074151,"A platform built out from the shore into the water and supported by piles, provides access to ships and boats",500,242
Blacksod Point,PIER,MAYO,CONNAUGHT,West,-10.06181826,54.09946447,"A platform built out from the shore into the water and supported by piles, provides access to ships and boats",500,239
Blacksod,SLIPWAY,MAYO,CONNAUGHT,West,-10.06731337,54.10062562,Structure consisting of a sloping way down to the water from the place where ships are built or repaired,500,240
Mweelillin Quay,QUAY,MAYO,CONNAUGHT,West,-9.92595578,53.89600829,Wharf usually built parallel to the shoreline,500,237
Belmullet Quay,QUAY,MAYO,CONNAUGHT,West,-9.99241061,54.22320957,Wharf usually built parallel to the shoreline,500,238
Achillbeg Island,SLIPWAY,MAYO,CONNAUGHT,West,-9.95169713,53.87138256,Structure consisting of a sloping way down to the water from the place where ships are built or repaired,500,235
Corraun Quay,QUAY,MAYO,CONNAUGHT,West,-9.9283065,53.87929355,Wharf usually built parallel to the shoreline,500,236
Bunacurry Harbour,SLIPWAY,MAYO,CONNAUGHT,West,-9.95489937,53.97308012,Structure consisting of a sloping way down to the water from the place where ships are built or repaired,500,233
Achill Sound Pier,PIER,MAYO,CONNAUGHT,West,-9.92405705,53.92975139,"A platform built out from the shore into the water and supported by piles, provides access to ships and boats",500,234
Creggancarragh,SLIPWAY,MAYO,CONNAUGHT,West,-10.03195732,54.01494385,Structure consisting of a sloping way down to the water from the place where ships are built or repaired,500,231
Doogort Slip,SLIPWAY,MAYO,CONNAUGHT,West,-10.02656836,54.01172498,Structure consisting of a sloping way down to the water from the place where ships are built or repaired,500,232
Bull's Mouth Slip,SLIPWAY,MAYO,CONNAUGHT,West,-9.92870004,53.99684351,Structure consisting of a sloping way down to the water from the place where ships are built or repaired,500,229
Creggancarragh,QUAY,MAYO,CONNAUGHT,West,-10.03216486,54.01522567,Wharf usually built parallel to the shoreline,500,230
Mallaranny Pier,PIER,MAYO,CONNAUGHT,West,-9.77602492,53.89730689,"A platform built out from the shore into the water and supported by piles, provides access to ships and boats",500,227
Keel,QUAY,MAYO,CONNAUGHT,West,-10.09902393,53.9632293,Wharf usually built parallel to the shoreline,500,228
Rosbeg Pier,PIER,MAYO,CONNAUGHT,West,-9.57873887,53.85810686,"A platform built out from the shore into the water and supported by piles, provides access to ships and boats",500,225
Burrishoole Quay,QUAY,MAYO,CONNAUGHT,West,-9.57114755,53.92252017,Wharf usually built parallel to the shoreline,500,226
Cloonile Quay,QUAY,GALWAY,CONNAUGHT,West,-9.85599049,53.43350869,Wharf usually built parallel to the shoreline,500,159
Aillenacally Pier,PIER,GALWAY,CONNAUGHT,West,-9.87649332,53.41909283,"A platform built out from the shore into the water and supported by piles, provides access to ships and boats",500,160
Bertraghboy Bay Quay,QUAY,GALWAY,CONNAUGHT,West,-9.84041862,53.37459765,Wharf usually built parallel to the shoreline,500,157
Scrahallia Quay,QUAY,GALWAY,CONNAUGHT,West,-9.82685102,53.42366516,Wharf usually built parallel to the shoreline,500,158
Letterard Quay,QUAY,GALWAY,CONNAUGHT,West,-9.89117209,53.36558599,Wharf usually built parallel to the shoreline,500,155
Letterard Pier,PIER,GALWAY,CONNAUGHT,West,-9.86359487,53.36990064,"A platform built out from the shore into the water and supported by piles, provides access to ships and boats",500,156
Mace Head Quay,QUAY,GALWAY,CONNAUGHT,West,-9.88661822,53.3402616,Wharf usually built parallel to the shoreline,500,153
Moyrus Quay,QUAY,GALWAY,CONNAUGHT,West,-9.88330153,53.34938826,Wharf usually built parallel to the shoreline,500,154
Finish Island Quay,QUAY,GALWAY,CONNAUGHT,West,-9.81248061,53.2987224,Wharf usually built parallel to the shoreline,500,151
Ard West Quay,QUAY,GALWAY,CONNAUGHT,West,-9.87574955,53.31423748,Wharf usually built parallel to the shoreline,500,152
Ardmore Quay,QUAY,GALWAY,CONNAUGHT,West,-9.77349403,53.30044999,Wharf usually built parallel to the shoreline,500,149
Mweenish Bay Quay,QUAY,GALWAY,CONNAUGHT,West,-9.80270139,53.30628978,Wharf usually built parallel to the shoreline,500,150
Quay,QUAY,GALWAY,CONNAUGHT,West,-9.63883993,53.37890552,Wharf usually built parallel to the shoreline,500,147
Kilkieran Quay,QUAY,GALWAY,CONNAUGHT,West,-9.73129197,53.32167229,Wharf usually built parallel to the shoreline,500,148
Kilbrickan Pier,PIER,GALWAY,CONNAUGHT,West,-9.63076258,53.3598412,"A platform built out from the shore into the water and supported by piles, provides access to ships and boats",500,145
Pier,PIER,GALWAY,CONNAUGHT,West,-9.63870097,53.37280112,"A platform built out from the shore into the water and supported by piles, provides access to ships and boats",500,146
Furnace,PIER,GALWAY,CONNAUGHT,West,-9.74681902,53.2490811,"A platform built out from the shore into the water and supported by piles, provides access to ships and boats",500,143
Kinvarra Quay,QUAY,GALWAY,CONNAUGHT,West,-9.56898081,53.3374428,Wharf usually built parallel to the shoreline,500,144
Lettermullan Pier,PIER,GALWAY,CONNAUGHT,West,-9.72011948,53.23343269,"A platform built out from the shore into the water and supported by piles, provides access to ships and boats",500,141
Furnace Pier,PIER,GALWAY,CONNAUGHT,West,-9.73855897,53.25422406,"A platform built out from the shore into the water and supported by piles, provides access to ships and boats",500,142
Gorumna Island,SLIPWAY,GALWAY,CONNAUGHT,West,-9.71538221,53.24103424,Structure consisting of a sloping way down to the water from the place where ships are built or repaired,500,139
Lettermullan Quay,QUAY,GALWAY,CONNAUGHT,West,-9.72220281,53.23557127,Wharf usually built parallel to the shoreline,500,140
Gorumna Island,QUAY,GALWAY,CONNAUGHT,West,-9.65010521,53.23322424,Wharf usually built parallel to the shoreline,500,137
Gorumna Island,QUAY,GALWAY,CONNAUGHT,West,-9.69439236,53.22746649,Wharf usually built parallel to the shoreline,500,138
Gorumna Island,QUAY,GALWAY,CONNAUGHT,West,-9.64255647,53.24474244,Wharf usually built parallel to the shoreline,500,135
Gorumna Island,QUAY,GALWAY,CONNAUGHT,West,-9.65243411,53.22948244,Wharf usually built parallel to the shoreline,500,136
Glentrasna,QUAY,GALWAY,CONNAUGHT,West,-9.68164165,53.27096309,Wharf usually built parallel to the shoreline,500,133
Carraveg Bay,QUAY,GALWAY,CONNAUGHT,West,-9.65338122,53.26639333,Wharf usually built parallel to the shoreline,500,134
Lettermore Island,QUAY,GALWAY,CONNAUGHT,West,-9.69939726,53.28417976,Wharf usually built parallel to the shoreline,500,131
Inishbarra Island,QUAY,GALWAY,CONNAUGHT,West,-9.71057509,53.28031039,Wharf usually built parallel to the shoreline,500,132
Lettermore Island,QUAY,GALWAY,CONNAUGHT,West,-9.65286756,53.29995718,Wharf usually built parallel to the shoreline,500,129
Lettermore Island,QUAY,GALWAY,CONNAUGHT,West,-9.69289589,53.30761366,Wharf usually built parallel to the shoreline,500,130
West Town Pier,PIER,DONEGAL,ULSTER,North-West,-7.35986712,55.36088615,"A platform built out from the shore into the water and supported by piles, provides access to ships and boats",500,191
Portaleen Pier,PIER,DONEGAL,ULSTER,North-West,-7.17281086,55.31982126,"A platform built out from the shore into the water and supported by piles, provides access to ships and boats",500,192
Ballynakilla Pier,PIER,CORK,MUNSTER,South,-9.85805781,51.64226212,"A platform built out from the shore into the water and supported by piles, provides access to ships and boats",500,189
Portmore Pier,PIER,DONEGAL,ULSTER,North-West,-7.33370285,55.37212477,"A platform built out from the shore into the water and supported by piles, provides access to ships and boats",500,190
Mill Cove Pier,PIER,CORK,MUNSTER,South,-9.86048612,51.65227067,"A platform built out from the shore into the water and supported by piles, provides access to ships and boats",500,187
Mill Cove Slip,SLIPWAY,CORK,MUNSTER,South,-9.86100307,51.65243978,Structure consisting of a sloping way down to the water from the place where ships are built or repaired,500,188
Nabulliga Pier,PIER,CORK,MUNSTER,South,-9.7449996,51.67036997,"A platform built out from the shore into the water and supported by piles, provides access to ships and boats",500,185
Bank Harbour Quay,QUAY,CORK,MUNSTER,South,-9.79167914,51.6597914,Wharf usually built parallel to the shoreline,500,186
Glengarriff Pier,PIER,CORK,MUNSTER,South,-9.54129409,51.74908283,"A platform built out from the shore into the water and supported by piles, provides access to ships and boats",500,183
Ardrigole Quay,QUAY,CORK,MUNSTER,South,-9.72768167,51.69054835,Wharf usually built parallel to the shoreline,500,184
Whiddy Oil,SLIPWAY,CORK,MUNSTER,South,-9.52908634,51.68439675,Structure consisting of a sloping way down to the water from the place where ships are built or repaired,500,181
Gallows Hill Slip,SLIPWAY,CORK,MUNSTER,South,-9.49432067,51.68278924,Structure consisting of a sloping way down to the water from the place where ships are built or repaired,500,182
Reenaknock Quay,QUAY,CORK,MUNSTER,South,-9.52860386,51.68097807,Wharf usually built parallel to the shoreline,500,179
Reenaknock Slip,SLIPWAY,CORK,MUNSTER,South,-9.52806852,51.6814417,Structure consisting of a sloping way down to the water from the place where ships are built or repaired,500,180
Tully Quay,QUAY,GALWAY,CONNAUGHT,West,-9.97242094,53.60276801,Wharf usually built parallel to the shoreline,500,177
Whiddy Island Quay,QUAY,CORK,MUNSTER,South,-9.48670703,51.69144822,Wharf usually built parallel to the shoreline,500,178
Letterfrack Quay,QUAY,GALWAY,CONNAUGHT,West,-9.96587793,53.5507141,Wharf usually built parallel to the shoreline,500,175
Ballynakill Harbour,QUAY,GALWAY,CONNAUGHT,West,-9.98066085,53.57175718,Wharf usually built parallel to the shoreline,500,176
Claddaghduff Quay,QUAY,GALWAY,CONNAUGHT,West,-10.14637776,53.54024759,Wharf usually built parallel to the shoreline,500,173
Cleggan Quay,QUAY,GALWAY,CONNAUGHT,West,-10.10964151,53.55676738,Wharf usually built parallel to the shoreline,500,174
Ballinaboy Quay,QUAY,GALWAY,CONNAUGHT,West,-10.03660203,53.45887313,Wharf usually built parallel to the shoreline,500,171
Clifden Quay,QUAY,GALWAY,CONNAUGHT,West,-10.02911086,53.48545378,Wharf usually built parallel to the shoreline,500,172
Errislannan Pier,PIER,GALWAY,CONNAUGHT,West,-10.08901274,53.4843351,"A platform built out from the shore into the water and supported by piles, provides access to ships and boats",500,169
Faul Quay,QUAY,GALWAY,CONNAUGHT,West,-10.04368968,53.47901238,Wharf usually built parallel to the shoreline,500,170
Doonloughan Quay,QUAY,GALWAY,CONNAUGHT,West,-10.15394176,53.44197575,Wharf usually built parallel to the shoreline,500,167
Doonloughan,QUAY,GALWAY,CONNAUGHT,West,-10.15256505,53.43743476,Wharf usually built parallel to the shoreline,500,168
Bunowen Bay Quay,QUAY,GALWAY,CONNAUGHT,West,-10.11636643,53.40526517,Wharf usually built parallel to the shoreline,500,165
Aillebrack Quay,QUAY,GALWAY,CONNAUGHT,West,-10.12916017,53.40709227,Wharf usually built parallel to the shoreline,500,166
Ballyconneely Bay,PIER,GALWAY,CONNAUGHT,West,-10.04534263,53.41192507,"A platform built out from the shore into the water and supported by piles, provides access to ships and boats",500,163
Bunowen Bay Slip,SLIPWAY,GALWAY,CONNAUGHT,West,-10.11571828,53.40567616,Structure consisting of a sloping way down to the water from the place where ships are built or repaired,500,164
Roundstone Pier,PIER,GALWAY,CONNAUGHT,West,-9.91783775,53.39737685,"A platform built out from the shore into the water and supported by piles, provides access to ships and boats",500,161
Ballyconneely Bay,QUAY,GALWAY,CONNAUGHT,West,-10.03451163,53.40714491,Wharf usually built parallel to the shoreline,500,162
Parkmore Quay,QUAY,GALWAY,CONNAUGHT,West,-8.96723111,53.1713304,Wharf usually built parallel to the shoreline,500,95
Killeenaran Quay,QUAY,GALWAY,CONNAUGHT,West,-8.94015426,53.19694139,Wharf usually built parallel to the shoreline,500,96
Kinvara Quay,QUAY,GALWAY,CONNAUGHT,West,-8.93663565,53.14013161,Wharf usually built parallel to the shoreline,500,93
Kinvara Bay,QUAY,GALWAY,CONNAUGHT,West,-8.94279751,53.16581972,Wharf usually built parallel to the shoreline,500,94
Burren,QUAY,CLARE,MUNSTER,Mid-West,-9.07522678,53.15602034,Wharf usually built parallel to the shoreline,500,91
Leagh North,QUAY,CLARE,MUNSTER,Mid-West,-9.00926822,53.14084726,Wharf usually built parallel to the shoreline,500,92
Ballyvaughan,QUAY,CLARE,MUNSTER,Mid-West,-9.13989502,53.12072216,Wharf usually built parallel to the shoreline,500,89
Bell Harbour,QUAY,CLARE,MUNSTER,Mid-West,-9.07088153,53.12256135,Wharf usually built parallel to the shoreline,500,90
Ballyvaughan Quay,QUAY,CLARE,MUNSTER,Mid-West,-9.15249161,53.11997314,Wharf usually built parallel to the shoreline,500,87
Gall Island,QUAY,CLARE,MUNSTER,Mid-West,-9.14788114,53.1213873,Wharf usually built parallel to the shoreline,500,88
Liscannor Quay,QUAY,CLARE,MUNSTER,Mid-West,-9.38662297,52.93742172,Wharf usually built parallel to the shoreline,500,85
Coolsiva Quay,QUAY,CLARE,MUNSTER,Mid-West,-9.22433115,53.14105583,Wharf usually built parallel to the shoreline,500,86
Quilty Slip,SLIPWAY,CLARE,MUNSTER,Mid-West,-9.45545171,52.81806126,Structure consisting of a sloping way down to the water from the place where ships are built or repaired,500,83
Liscannor Slip,SLIPWAY,CLARE,MUNSTER,Mid-West,-9.38597839,52.93794287,Structure consisting of a sloping way down to the water from the place where ships are built or repaired,500,84
Doonbeg Slip,SLIPWAY,CLARE,MUNSTER,Mid-West,-9.53827144,52.73704861,Structure consisting of a sloping way down to the water from the place where ships are built or repaired,500,81
Seafield Harbour,QUAY,CLARE,MUNSTER,Mid-West,-9.48803849,52.80955289,Wharf usually built parallel to the shoreline,500,82
Kilbaha Quay,QUAY,CLARE,MUNSTER,Mid-West,-9.86109437,52.56822083,Wharf usually built parallel to the shoreline,500,79
Kilbaha Slip,SLIPWAY,CLARE,MUNSTER,Mid-West,-9.86175289,52.56824933,Structure consisting of a sloping way down to the water from the place where ships are built or repaired,500,80
Carrigaholt New Quay,QUAY,CLARE,MUNSTER,Mid-West,-9.69842565,52.60074538,Wharf usually built parallel to the shoreline,500,77
Carrigaholt Quay,QUAY,CLARE,MUNSTER,Mid-West,-9.70640852,52.60354148,Wharf usually built parallel to the shoreline,500,78
Cappagh Pier,PIER,CLARE,MUNSTER,Mid-West,-9.49858669,52.62773211,"A platform built out from the shore into the water and supported by piles, provides access to ships and boats",500,75
Querrin Point Quay,QUAY,CLARE,MUNSTER,Mid-West,-9.58728734,52.62768543,Wharf usually built parallel to the shoreline,500,76
Knock Quay,QUAY,CLARE,MUNSTER,Mid-West,-9.33214938,52.62717671,Wharf usually built parallel to the shoreline,500,73
Killimer Quay,QUAY,CLARE,MUNSTER,Mid-West,-9.37977358,52.61453205,Wharf usually built parallel to the shoreline,500,74
Labaseeda Point Quay,QUAY,CLARE,MUNSTER,Mid-West,-9.25511757,52.61962825,Wharf usually built parallel to the shoreline,500,71
Labaseeda Quay,QUAY,CLARE,MUNSTER,Mid-West,-9.24552797,52.62206944,Wharf usually built parallel to the shoreline,500,72
Killadysert Quay,QUAY,CLARE,MUNSTER,Mid-West,-9.09900313,52.66911946,Wharf usually built parallel to the shoreline,500,69
Cathair Quay,QUAY,CLARE,MUNSTER,Mid-West,-9.10984543,52.65241067,Wharf usually built parallel to the shoreline,500,70
Tarbert Pier,PIER,KERRY,MUNSTER,South-West,-9.36018076,52.58635733,"A platform built out from the shore into the water and supported by piles, provides access to ships and boats",500,67
Tarbert Island Pier,PIER,KERRY,MUNSTER,South-West,-9.36698665,52.59058807,"A platform built out from the shore into the water and supported by piles, provides access to ships and boats",500,68
Meenogahane Quay,QUAY,KERRY,MUNSTER,South-West,-9.77021902,52.44857095,Wharf usually built parallel to the shoreline,500,65
Tarbert Quay,QUAY,KERRY,MUNSTER,South-West,-9.35817934,52.5866685,Wharf usually built parallel to the shoreline,500,66
Lettermore Island,QUAY,GALWAY,CONNAUGHT,West,-9.70764753,53.29524754,Wharf usually built parallel to the shoreline,500,127
Lettermore Island,QUAY,GALWAY,CONNAUGHT,West,-9.6720172,53.30487038,Wharf usually built parallel to the shoreline,500,128
Lettermore Island,QUAY,GALWAY,CONNAUGHT,West,-9.68257455,53.28744302,Wharf usually built parallel to the shoreline,500,125
Lettermore Island,QUAY,GALWAY,CONNAUGHT,West,-9.69619883,53.29238625,Wharf usually built parallel to the shoreline,500,126
Lettermore Quay,QUAY,GALWAY,CONNAUGHT,West,-9.65373334,53.28784651,Wharf usually built parallel to the shoreline,500,123
Lettermore Slip,SLIPWAY,GALWAY,CONNAUGHT,West,-9.67554204,53.2878274,Structure consisting of a sloping way down to the water from the place where ships are built or repaired,500,124
Annaghvaan,PIER,GALWAY,CONNAUGHT,West,-9.64932076,53.31421647,"A platform built out from the shore into the water and supported by piles, provides access to ships and boats",500,121
Lettermore Island,PIER,GALWAY,CONNAUGHT,West,-9.63466945,53.2949006,"A platform built out from the shore into the water and supported by piles, provides access to ships and boats",500,122
Bealadangan Quay,QUAY,GALWAY,CONNAUGHT,West,-9.62375353,53.31097194,Wharf usually built parallel to the shoreline,500,119
Bealadangan Slip,SLIPWAY,GALWAY,CONNAUGHT,West,-9.60067818,53.32583633,Structure consisting of a sloping way down to the water from the place where ships are built or repaired,500,120
Rossroe Island Slip,SLIPWAY,GALWAY,CONNAUGHT,West,-9.60390269,53.28727167,Structure consisting of a sloping way down to the water from the place where ships are built or repaired,500,117
Carraoe North,QUAY,GALWAY,CONNAUGHT,West,-9.60197587,53.29431703,Wharf usually built parallel to the shoreline,500,118
An Ceathr̼ Rua,QUAY,GALWAY,CONNAUGHT,West,-9.62432889,53.26085751,Wharf usually built parallel to the shoreline,500,115
An Ceathr̼ Rua Slip,SLIPWAY,GALWAY,CONNAUGHT,West,-9.60414378,53.27591172,Structure consisting of a sloping way down to the water from the place where ships are built or repaired,500,116
Carraroe Slip,SLIPWAY,GALWAY,CONNAUGHT,West,-9.59032147,53.26776483,Structure consisting of a sloping way down to the water from the place where ships are built or repaired,500,113
An Ceathr̼ Rua Quay,QUAY,GALWAY,CONNAUGHT,West,-9.57802771,53.25445994,Wharf usually built parallel to the shoreline,500,114
Ros a Mhil Quay,QUAY,GALWAY,CONNAUGHT,West,-9.5625882,53.26687605,Wharf usually built parallel to the shoreline,500,111
Rossaveel Quay,QUAY,GALWAY,CONNAUGHT,West,-9.56002553,53.26708081,Wharf usually built parallel to the shoreline,500,112
An Spid̩al Slip,SLIPWAY,GALWAY,CONNAUGHT,West,-9.30373656,53.24312668,Structure consisting of a sloping way down to the water from the place where ships are built or repaired,500,109
Keeraunnagark South,QUAY,GALWAY,CONNAUGHT,West,-9.54917102,53.24593574,Wharf usually built parallel to the shoreline,500,110
An Spid̩al Quay,QUAY,GALWAY,CONNAUGHT,West,-9.30515912,53.24245444,Wharf usually built parallel to the shoreline,500,107
Cora na C̩ibhe,QUAY,GALWAY,CONNAUGHT,West,-9.30871788,53.24004247,Wharf usually built parallel to the shoreline,500,108
Claddagh Pier,PIER,GALWAY,CONNAUGHT,West,-9.04705043,53.26664023,"A platform built out from the shore into the water and supported by piles, provides access to ships and boats",500,105
Barna Quay,QUAY,GALWAY,CONNAUGHT,West,-9.14955525,53.24857621,Wharf usually built parallel to the shoreline,500,106
Oranmore Castle Pier,PIER,GALWAY,CONNAUGHT,West,-8.93434248,53.26809157,"A platform built out from the shore into the water and supported by piles, provides access to ships and boats",500,103
